ID,Name,TeamName,Role
270,★ ⑳ BALLER,STREAM TEAM,
271,★ ⑳ gabriellll,UR$O,
272,★ ⑳ nollan,UFSC TITANS,
273,★ ⑳ KOBE,UR$O,
274,★ ⑳ GAFTE,UFSC TITANS,
275,★ ⑳ sf_,UR$O,
276,★ ⑳ stanckz,UFSC TITANS,
277,★ ⑳ gu1,UR$O,
278,★ ⑳ lesteR7!,UFSC TITANS,
279,★ ⑳ Khabib Nurmagomedov,UR$O,
280,★ ⑳ Little rubber duck,UFSC TITANS,
281,★ ⑳ furiwolf,ressacada crew,
282,★ ⑳ Piccas0,MZ TEAM,
283,★ ⑳ csooo,ressacada crew,
284,★ ⑳ ngro,MZ TEAM,
285,★ ⑳ sant,MZ TEAM,
286,★ ⑳ 1jnrgg,ressacada crew,
287,★ ⑳ drt-_,ressacada crew,
288,★ ⑳ abelo,ressacada crew,
289,★ ⑳ Cronodinho,MZ TEAM,
290,★ ⑳ zekla,MZ TEAM,
291,★ ⑳ dnc,Omega 4.1,
292,★ ⑳ sori-',LUMINOUS,
293,★ ⑳ G.Z,LUMINOUS,
294,★ ⑳ tavo^-,Omega 4.1,
295,★ ⑳ TerraN,Omega 4.1,
296,★ ⑳ Davidtess,LUMINOUS,
297,★ ⑳ spankeer le Dieu,Omega 4.1,
298,"★ ⑳ 70r471`,",Omega 4.1,
299,★ ⑳ ' Lucky,LUMINOUS,
300,★ ⑳ m0b,LUMINOUS,
301,★ ⑳ jh0nny,Uranus Gaming,
302,★ ⑳ vzn,FIVER5 FIRE,
303,★ ⑳ xureba,FIVER5 FIRE,
304,★ ⑳ Romarin,Uranus Gaming,
305,★ ⑳ tinoco,FIVER5 FIRE,
306,★ ⑳ Uran.MURALHA,Uranus Gaming,
307,★ ⑳ Y4NC,FIVER5 FIRE,
308,★ ⑳ Sgt. Pepper,Uranus Gaming,
309,★ ⑳ r1ck,Uranus Gaming,
310,★ ⑳ Sonzer4,FIVER5 FIRE,
