,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,WalkQuantityAsCT,DistanceTraveledAsTR,DistanceTraveledAsCT,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
21,★ ⑳ abg,SEMORG!,0.155339805825242,0.186813186813186,0.16334780655786701,0.16334780655786701,0.18181818181818102,0.15384615384615302,0.0,0.15384615384615302,0.0,0.23287671232876703,0.0,0.555555555555555,0.18326559080304902,5493,0.199363963514558,102851.16,0.162790697674418,0.0,0.07692307692307601,0.25,0.16666666666666602,0.0
22,★ ⑳ BR2DES7DACORO,SEMORG!,0.203883495145631,0.175824175824175,0.17480161700853403,0.17480161700853403,0.18181818181818102,0.23076923076923,0.5,0.15384615384615302,0.33333333333333304,0.205479452054794,0.09090909090909001,0.11111111111111101,0.18692128237812303,5088,0.194708049847296,99090.64,0.11627906976744101,1.0,0.115384615384615,0.0,0.833333333333333,0.0
23,★ ⑳ PedrinS3,SEMORG!,0.24271844660194103,0.20879120879120802,0.268453361281629,0.268453361281629,0.27272727272727204,0.15384615384615302,0.5,0.23076923076923,0.2,0.068493150684931,0.27272727272727204,0.11111111111111101,0.191033935400081,7907,0.19904211554249102,105316.15,0.372093023255813,0.0,0.269230769230769,0.0,0.0,0.0
24,★ ⑳ BR2LUKDACORO,SEMORG!,0.203883495145631,0.19780219780219702,0.21492738433897202,0.21492738433897202,0.09090909090909001,0.15384615384615302,0.0,0.15384615384615302,0.133333333333333,0.23287671232876703,0.27272727272727204,0.22222222222222202,0.22922629211861703,5613,0.200175328319136,97542.74,0.11627906976744101,0.0,0.30769230769230704,0.0,0.0,0.0
25,★ ⑳ EduGOD,BROKEN,0.15217391304347802,0.221153846153846,0.138611324622085,0.138611324622085,0.0,0.25,1.0,0.066666666666666,0.30769230769230704,0.07692307692307601,0.4,0.0,0.191272462486672,6496,0.18068302702690803,116651.87,0.0625,0.0,0.055555555555555004,0.0,0.777777777777777,0.0
26,★ ⑳ deg,BROKEN,0.206521739130434,0.201923076923076,0.231104278759928,0.231104278759928,0.42857142857142805,0.125,0.0,0.066666666666666,0.23076923076923,0.07692307692307601,0.0,0.5,0.18838582165240603,7527,0.19123580664207102,149420.84,0.125,0.0,0.388888888888888,0.0,0.0,0.0
27,★ ⑳ aranw,BROKEN,0.293478260869565,0.18269230769230702,0.267401144418823,0.267401144418823,0.28571428571428503,0.1875,0.0,0.533333333333333,0.07692307692307601,0.115384615384615,0.2,0.0,0.22989103580994902,8854,0.21337548316836003,136922.78,0.4375,0.0,0.388888888888888,0.0,0.22222222222222202,0.0
28,★ ⑳ yokz,BROKEN,0.130434782608695,0.211538461538461,0.156802459646425,0.156802459646425,0.0,0.25,0.0,0.066666666666666,0.30769230769230704,0.5769230769230761,0.4,0.33333333333333304,0.201830806439029,9689,0.212713211637358,137247.29,0.3125,0.0,0.11111111111111101,0.6666666666666661,0.0,0.0
29,★ ⑳ syncmau,BROKEN,0.21739130434782603,0.18269230769230702,0.206080792552737,0.206080792552737,0.28571428571428503,0.1875,0.0,0.266666666666666,0.07692307692307601,0.15384615384615302,0.0,0.16666666666666602,0.18861987361194102,6368,0.2019924715253,136273.47,0.0625,0.0,0.055555555555555004,0.33333333333333304,0.0,1.0
30,★ ⑳ gaspaaR,Ciam Gaming,0.132075471698113,0.21518987341772103,0.159882406151062,0.159882406151062,0.2,0.0,0.0,0.2,0.36363636363636304,0.259259259259259,0.0,0.0,0.2526699494788,4457,0.203338031848303,77344.15,0.129629629629629,0.0,0.1,0.6666666666666661,0.09090909090909001,0.0
