,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
1461,Lurker,0.14,0.17,0.15,0.15,0.5,0.21,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.19,0.46,0.0,0.17,0.0,0.0,0.0
2597,Lurker,0.18,0.23,0.17,0.17,0.19,0.22,0.0,0.22,0.25,0.3,0.0,0.0,0.24,0.2,0.23,0.0,0.35,0.17,0.0,0.0
3085,Lurker,0.22,0.19,0.23,0.23,0.12,0.18,0.0,0.27,0.18,0.09,0.25,0.2,0.2,0.22,0.23,1.0,0.43,0.18,0.0,0.0
1527,AWPer,0.3,0.21,0.28,0.28,0.27,0.27,0.0,0.31,0.08,0.29,0.0,0.5,0.17,0.19,0.13,0.5,0.4,0.0,0.83,0.0
1772,AWPer,0.17,0.22,0.16,0.16,0.15,0.42,0.0,0.23,0.05,0.23,0.17,0.43,0.2,0.18,0.05,0.0,0.0,0.0,1.0,1.0
2046,AWPer,0.2,0.17,0.18,0.18,0.19,0.23,0.0,0.24,0.29,0.31,0.29,0.18,0.2,0.21,0.08,0.0,0.08,0.0,0.89,0.0
3809,AWPer,0.23,0.16,0.24,0.24,0.15,0.09,0.0,0.25,0.21,0.22,0.29,0.0,0.22,0.2,0.18,0.0,0.15,0.75,1.0,0.0
4080,AWPer,0.15,0.21,0.15,0.15,0.12,0.11,0.0,0.29,0.23,0.23,0.0,0.09,0.16,0.18,0.09,0.0,0.06,0.0,0.3,0.0
4421,AWPer,0.23,0.2,0.21,0.21,0.22,0.43,1.0,0.29,0.24,0.31,0.25,0.12,0.21,0.2,0.11,0.0,0.03,0.0,0.95,0.0
3807,Entry Fragger,0.2,0.26,0.18,0.18,0.31,0.18,0.33,0.31,0.29,0.04,0.14,0.17,0.21,0.21,0.2,0.0,0.23,0.0,0.0,0.0
4084,Entry Fragger,0.18,0.16,0.18,0.18,0.0,0.11,0.0,0.29,0.15,0.21,0.33,0.09,0.21,0.2,0.23,0.0,0.12,0.0,0.1,0.0
4420,Entry Fragger,0.18,0.19,0.18,0.18,0.22,0.1,0.0,0.21,0.24,0.07,0.25,0.12,0.22,0.21,0.18,0.0,0.31,0.0,0.0,0.0
3805,Lurker,0.25,0.16,0.25,0.25,0.15,0.36,0.67,0.06,0.21,0.0,0.0,0.17,0.2,0.21,0.22,0.0,0.38,0.25,0.0,0.0
4081,Lurker,0.18,0.21,0.21,0.21,0.0,0.33,0.0,0.07,0.08,0.16,0.17,0.09,0.22,0.19,0.2,0.0,0.19,0.0,0.1,0.33
4423,Lurker,0.24,0.19,0.25,0.25,0.33,0.05,0.0,0.21,0.24,0.3,0.25,0.25,0.22,0.21,0.3,0.0,0.34,0.0,0.0,0.0
3808,Suporte,0.14,0.23,0.16,0.16,0.15,0.09,0.0,0.12,0.29,0.57,0.29,0.17,0.21,0.19,0.2,0.0,0.08,0.0,0.0,0.0
4083,Suporte,0.22,0.2,0.21,0.21,0.62,0.11,0.0,0.07,0.23,0.28,0.0,0.36,0.2,0.21,0.26,0.0,0.25,0.0,0.2,0.67
4422,Suporte,0.19,0.22,0.19,0.19,0.17,0.19,0.0,0.12,0.06,0.13,0.12,0.25,0.18,0.2,0.17,0.0,0.21,0.0,0.05,0.0
